Name,Rating,Happy,Blur Amount,Attractiveness,Colorfulness
Devin Balkcom,4.249595645,1,482.5642411,3.0398438,31.77112009
Andrew Campbell,4.15122807,1,125.2680441,3.4655745,39.96775655
Thomas Cormen,4.268617647,1,301.6613191,2.6648245,38.2516282
Prasad Jayanti,4.651539924,0,134.5869598,3.075481,72.77409812
Vasanta Komenini,4.677671371,1,137.7653594,2.7445104,93.04590502
Christopher J. Bailey-Kellogg,4.290647059,1,256.5280429,2.8751736,30.51428311
Michael A. Casey,4.414569536,0,495.3487194,2.6930876,30.52863428
Lorie Loeb,4.6842,0,159.9408035,3.046627,83.50915128
Patricia A. Hannaway,4.205,0,20.93789665,3.2709584,16.18087101
Amit Chakrabarty,3.831549708,0,83.24722405,2.5956378,67.81603686
Deeparnab Chakrabarty,4.754505747,1,227.9876903,2.770698,34.82285777
Sebastiaan Joze Joosten,3.901353383,0,2178.741911,2.8155487,20.87908934
David F. Kotz,3.952368421,1,358.7824495,2.65884,37.65504484
Patricia M. Anderson,3.916544276,1,496.4857402,2.633175,39.2624074
William A. Fischel,3.985021097,1,251.6778139,2.520574,43.15933992
Elizabeth U. Cascio,4.511330798,1,733.2185531,2.8679252,34.84606854
Alan L. Gustman,3.64,1,479.5236853,2.646526,44.96457647
Bruce I. Sacerdote,4.905202312,1,597.6626623,2.8106103,33.39898806
Marjorie B. Rose,4.612782609,1,455.9654736,2.672094,33.44187263
Robert W. Staiger,3.96,1,273.7986148,2.8494382,49.11196869
Mark S. Laser,4.714248705,0,342.5139263,2.5875356,38.61893502